name,Overall Acc,Mean Acc,FreqW Acc,Mean IoU
Room segmentation,0.825413144639654,0.6955697828800155,0.7167678133246905,0.5728023073980537
Room polygon segmentation,0.7731881576017263,0.6172113953204399,0.636310438413706,0.49466111585430655
Icon segmentation,0.9750567047833757,0.6022790725634947,0.9531394514846131,0.5495115681807768
Icon polygon segmentation,0.9667324641203848,0.4612160482928566,0.9374475631122218,0.42306994101196216
